userId,name,category,amount,frequency,date
user1,Groceries,Groceries,45.00,daily,2024-09-30
user1,Gas,Transportation,10.00,daily,2024-10-01
user1,Coffee,Restaurant/Takeout,5.50,daily,2024-10-03
user1,Lunch with Friends,Restaurant/Takeout,15.00,daily,2024-10-07
user1,Groceries,Groceries,50.00,daily,2024-10-08
user1,Bus Fare,Transportation,12.00,daily,2024-10-08
user1,Movie Ticket,Entertainment,20.00,daily,2024-10-10
user1,Laundry Detergent,Home Supplies,8.00,daily,2024-10-14
user1,Groceries,Groceries,55.00,daily,2024-10-15
user1,Gas,Transportation,15.00,daily,2024-10-15
user1,Dog Food,Pets,10.00,daily,2024-10-17
user1,Takeout Dinner,Restaurant/Takeout,30.00,daily,2024-10-21
user1,Groceries,Groceries,60.00,daily,2024-10-22
user1,Bus Fare,Transportation,18.00,daily,2024-10-22
user1,Streaming Subscription,Entertainment,25.00,daily,2024-10-24
user1,Paper Towels,Home Supplies,10.00,daily,2024-10-28
user1,Groceries,Groceries,65.00,daily,2024-10-29
user1,Gas,Transportation,20.00,daily,2024-10-29
user1,Shampoo,Personal Care,15.00,daily,2024-10-30
user1,Lunch Date,Restaurant/Takeout,35.00,daily,2024-11-05
user1,Groceries,Groceries,70.00,daily,2024-11-06
user1,Gas,Transportation,22.00,daily,2024-11-06
user1,Museum Entry,Entertainment,30.00,daily,2024-11-07
user1,Takeout Dinner,Restaurant/Takeout,40.00,daily,2024-11-12
user1,Groceries,Groceries,75.00,daily,2024-11-12
user1,Train Fare,Transportation,25.00,daily,2024-11-12
user1,Online Movie Rental,Entertainment,35.00,daily,2024-11-14
user1,Cleaning Spray,Home Supplies,20.00,daily,2024-11-19
user1,Groceries,Groceries,80.00,daily,2024-11-19
user1,Gas,Transportation,27.00,daily,2024-11-19
user1,Pet Treats,Pets,15.00,daily,2024-11-20
user1,Brunch,Restaurant/Takeout,45.00,daily,2024-11-20
